,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
5,PCH,0.0,0.0,3.3434815,2.5123973,3.1262283,2.2126832,0.0,0.14715272,0.057957467,2
9,LXP,0.0,0.0,2.8640525,2.3809586,2.604206,2.3255787,0.0,0.1465798,0.07166124,2
13,KRC,0.0,0.0,2.5232809,2.162734,2.4868357,2.1172748,0.0,0.13207063,0.038809523,2
0,PSB,0.0,0.0,66.350685,16.439842,0.0,0.0,0.0,0.08692399,0.024221083,2
6,CUZ,0.0,0.0,3.267935,2.6965415,3.1996021,2.7212017,0.0,0.08094879,0.068935804,2
11,BNL,0.0,0.0,2.5783517,2.4599857,2.7631352,2.3932102,0.0,0.053903345,0.027261462,2
1,IIPR,0.0,0.0,6.3926806,4.4080963,12.835434,7.2727914,0.0,0.05089528,0.03559414,2
26,FCPT,0.0,0.0,2.1546228,2.026413,2.1951573,2.0252805,0.0,0.0468158,0.044962533,2
21,SITC,0.0,0.0,2.3650324,2.0614493,1.9861099,1.8989407,0.0,0.045698926,0.007168459,2
10,STAG,0.0,0.0,2.5909774,2.391007,2.7106507,2.442059,0.0,0.04502422,0.04597701,2
22,NHI,0.0,0.0,2.2679782,2.1475837,2.075798,1.9533039,0.0,0.04497231,0.076243095,2
16,RYN,0.0,0.0,2.4886396,2.1555424,2.5848835,1.998155,0.0,0.044789128,0.008741804,2
18,CTRE,0.0,0.0,2.4366689,2.2629545,2.7558203,2.5509257,0.0,0.041019958,0.047117516,2
7,ADC,0.0,0.0,3.097189,2.8916435,3.1898434,2.8576262,0.0,0.035882622,0.02675992,2
19,IRT,0.0,0.0,2.4051342,2.2713993,1.8345381,1.6973416,0.0,0.027795905,0.00952381,2
12,DOC,0.0,0.0,2.5696728,2.3604162,-0.8214366,0.24508293,0.0,0.026748972,0.021947874,2
3,TRNO,0.0,0.0,4.057634,3.3757093,0.0,0.0,0.0,0.023778802,0.02156682,2
2,SHO,0.0,0.0,4.792412,3.7952626,4.008809,3.3310168,0.0,0.01602915,-0.1949495,2
4,WRE,0.0,0.0,3.7750459,3.3563905,2.4406433,2.2134638,0.0,0.011614402,-0.011614402,2
8,APLE,0.0,0.0,3.0895982,2.9153538,3.2576916,2.6825855,0.0,0.0056451615,-0.05174731,2
17,PECO,0.0,0.0,2.467999,2.129483,2.0407193,1.7571183,0.0,0.0052011097,0.0020804438,2
15,SBRA,0.0,0.0,2.4918644,2.3062615,2.5230436,2.3232656,0.0,-0.038965244,0.050911855,2
20,KRG,0.0,0.0,2.3717692,2.0578635,2.1814284,1.8941066,0.0,-0.05333752,-0.010485651,2
23,PEB,0.0,0.0,2.2674675,2.0215092,2.177376,2.160839,0.0,-0.09366947,-0.21367522,2
14,DRH,0.0,0.0,2.5218875,2.0530498,2.8511152,2.2038572,0.0,-0.120300755,-0.24686716,2
24,SLG,0.0,0.0,2.2260973,1.9252844,2.3611054,1.8848695,0.0,0.16073954,0.12304589,1
34,VNO,0.0,0.0,1.9214661,1.6059926,2.1924355,1.7492349,0.0,0.04094348,-0.081441924,1
27,SRC,0.0,0.0,2.1395288,1.9349713,2.3526912,2.288108,0.0,0.039018165,0.0040827435,1
36,NSA,0.0,0.0,1.8761413,1.8059555,1.8095113,1.6867043,0.0,0.037675895,0.012625059,1
30,LTC,0.0,0.0,2.0821717,1.9808201,2.2475,2.1347501,0.0,0.037519958,0.06439596,1
35,EPR,0.0,0.0,1.9189028,1.822478,1.7204926,1.6457642,0.0,0.035378195,-0.055018786,1
25,ROIC,0.0,0.0,2.2030096,1.874471,2.082971,1.8220335,0.0,0.03280708,0.019162526,1
38,OFC,0.0,0.0,1.8519146,1.6530877,1.9252454,1.7106551,0.0,0.030017449,0.038187638,1
37,DEI,0.0,0.0,1.8622638,1.7427236,2.0761135,1.7604504,0.0,0.021239955,0.016073478,1
28,HTA,0.0,0.0,2.13673,1.9432904,2.1716323,1.9097654,0.0,0.015622114,0.008221994,1
39,MAC,0.0,0.0,1.8107002,1.6144009,0.8664842,1.3628658,0.0,0.0081206495,-0.17831068,1
29,HPP,0.0,0.0,2.1294446,1.8756143,2.159154,1.9054722,0.0,0.0037453184,0.00023417603,1
31,XHR,0.0,0.0,2.066157,1.8719685,2.2405586,2.035778,0.0,-0.08649726,-0.098495215,1
33,PK,0.0,0.0,1.9887732,1.8245318,1.0337858,1.8431407,0.0,-0.16102394,-0.5045417,1
32,RLJ,0.0,0.0,2.0331843,1.8825487,2.1706939,1.9172649,0.0,-0.17753668,-0.17352277,1
