,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
3,WY,0.0,0.0,3.4456372,2.5638344,2.9650972,2.151847,0.0,0.11676146,0.035797928,2
16,KIM,0.0,0.0,2.4290078,2.2145183,1.1168121,1.9539067,0.0,0.083247155,0.116856255,2
2,VICI,0.0,0.0,3.525225,3.2526295,2.4144065,2.2541494,0.0,0.06377551,0.05612245,2
15,DLR,0.0,0.0,2.4310558,2.0326397,2.7115414,2.0463064,0.0,0.060388315,0.009881617,2
14,EQR,0.0,0.0,2.44624,2.1207345,2.4227822,2.130214,0.0,0.052350238,0.03577687,2
6,DRE,0.0,0.0,2.8313518,2.4254463,2.6916564,2.3501472,0.0,0.04713858,0.01680498,2
5,PLD,0.0,0.0,3.2199864,2.819427,3.234013,2.8401113,0.0,0.044621233,0.019058403,2
10,FR,0.0,0.0,2.559762,2.1645215,2.344368,2.0556765,0.0,0.04450596,0.03258092,2
13,AVB,0.0,0.0,2.4559636,2.2189972,2.0067205,2.272903,0.0,0.037999574,0.031303145,2
8,REG,0.0,0.0,2.7428966,2.3048074,2.611634,2.2417397,0.0,0.037809882,0.0047310507,2
20,PSA,0.0,0.0,2.3251183,2.1842527,4.6430583,3.6474795,0.0,0.037719443,0.02117845,2
24,STOR,0.0,0.0,2.233256,2.1112943,0.01392797,0.015452937,0.0,0.03153384,0.026777176,2
4,ARE,0.0,0.0,3.275241,2.7015054,2.8863034,2.4296758,0.0,0.031123325,0.04142906,2
12,MAA,0.0,0.0,2.4985514,2.212308,2.453539,2.1989436,0.0,0.03024367,0.013886259,2
17,SUI,0.0,0.0,2.4088311,2.0841582,2.3909097,2.0972967,0.0,0.025527196,0.009519074,2
11,CPT,0.0,0.0,2.5160444,2.14977,2.2733831,1.9549806,0.0,0.02411889,0.01006984,2
7,AMH,0.0,0.0,2.8250213,2.5952704,3.3821123,3.0737026,0.0,0.018054746,0.008153756,2
1,REXR,0.0,0.0,4.845195,3.9575627,3.857809,3.4853137,0.0,0.014590553,0.009301477,2
9,O,0.0,0.0,2.6859422,2.3954496,2.2987177,2.1332135,0.0,0.014435043,0.019080803,2
21,INVH,0.0,0.0,2.3176193,2.1310215,2.1796942,1.9559699,0.0,0.012842466,0.009988585,2
19,WELL,0.0,0.0,2.37859,2.1938999,2.2848473,2.0820084,0.0,0.012581547,0.03665735,2
27,NNN,0.0,0.0,2.0748215,2.0135794,2.3713222,2.3015676,0.0,-0.00026760806,0.029960707,2
23,HST,0.0,0.0,2.2643447,2.0914323,2.326295,1.9637417,0.0,-0.00091907504,-0.061721068,2
34,MPW,0.0,0.0,1.7935674,1.6994848,1.8982679,1.7742473,0.0,0.09206673,0.0675563,1
33,OHI,0.0,0.0,1.8346648,1.7428641,1.8372966,1.7391913,0.0,0.05747877,0.022860875,1
18,PEAK,0.0,0.0,2.3935106,1.8809935,2.4576101,1.8564582,0.0,0.040859018,0.032244556,1
22,WPC,0.0,0.0,2.2793736,1.9602734,2.1964815,1.8785458,0.0,0.031912003,0.035442695,1
28,ESS,0.0,0.0,2.0443063,1.9151981,2.0450604,1.9156235,0.0,0.030401088,0.035394266,1
29,CUBE,0.0,0.0,2.0388925,1.7901105,2.0206327,1.6267157,0.0,0.02675748,0.020676235,1
25,EGP,0.0,0.0,2.170247,1.955948,2.046583,1.8760471,0.0,0.026066666,0.018466666,1
26,HR,0.0,0.0,2.13673,1.9432904,2.1716323,1.9097654,0.0,0.021308856,0.011214953,1
32,EQIX,0.0,0.0,1.8621744,1.6387161,2.4937303,1.6495022,0.0,0.009460742,0.0071789464,1
31,ACC,0.0,0.0,1.8906517,1.7594208,2.096063,1.7215563,0.0,0.00397432,0.007795781,1
30,VTR,0.0,0.0,2.0219414,1.7947822,1.9767661,1.7529141,0.0,0.0031823746,0.02888617,1
0,COLD,0.0,0.0,8.405067,1.9622545,2.9261482,1.9392053,0.0,-0.0049296073,0.004245465,1
