,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
3,FSP,0.0,0.0,2.8732316,2.3480954,1.3098485,1.749289,0.0,0.33079848,0.11406844,2
12,ILPT,0.0,0.0,2.2705817,2.1924446,2.1739962,2.09932,0.0,0.3267857,0.225,2
2,CUZ,0.0,0.0,3.267935,2.6965415,3.1996021,2.7212017,0.0,0.078776576,0.06708595,2
10,DLR,0.0,0.0,2.4310558,2.0326397,2.7115414,2.0463064,0.0,0.061446387,0.010054753,2
9,EQR,0.0,0.0,2.44624,2.1207345,2.4227822,2.130214,0.0,0.052650083,0.03598179,2
11,GTY,0.0,0.0,2.4094343,2.0322342,2.3371654,1.9560668,0.0,0.050816026,0.060089022,2
4,DRE,0.0,0.0,2.8313518,2.4254463,2.6916564,2.3501472,0.0,0.04713858,0.01680498,2
17,FCPT,0.0,0.0,2.1546228,2.026413,2.1951573,2.0252805,0.0,0.046757404,0.044906445,2
7,FR,0.0,0.0,2.559762,2.1645215,2.344368,2.0556765,0.0,0.04542491,0.03325364,2
5,EPRT,0.0,0.0,2.8298688,2.6285386,3.0526998,2.744435,0.0,0.04116999,0.02244898,2
6,DOC,0.0,0.0,2.5696728,2.3604162,-0.8214366,0.24508293,0.0,0.026244953,0.02153432,2
1,DEA,0.0,0.0,4.062905,2.0412054,2.5121593,2.1230164,0.0,0.025548607,0.009475679,2
14,FPI,0.0,0.0,2.19292,2.1203296,2.1530535,1.6906438,0.0,0.024927637,0.019218136,2
15,GMRE,0.0,0.0,2.1789596,2.0186434,1.876828,1.7117513,0.0,0.021939954,-0.0048055686,2
13,HST,0.0,0.0,2.2643447,2.0914323,2.326295,1.9637417,0.0,-0.0009460241,-0.06353085,2
0,DCT,0.0,0.0,33.25584,7.444182,33.96844,6.762052,0.0,-0.010842369,-0.019098332,2
8,DRH,0.0,0.0,2.5218875,2.0530498,2.8511152,2.2038572,0.0,-0.12435233,-0.25518134,2
30,DHC,0.0,0.0,1.800318,1.67213,1.8158329,1.6790471,0.0,0.7414178,-0.5992281,1
32,HASI,0.0,0.0,1.6640303,1.606754,1.580223,1.5381027,0.0,0.052090246,0.037491705,1
26,EPR,0.0,0.0,1.9189028,1.822478,1.7204926,1.6457642,0.0,0.03648468,-0.05673955,1
24,ESS,0.0,0.0,2.0443063,1.9151981,2.0450604,1.9156235,0.0,0.030243415,0.035210695,1
25,CUBE,0.0,0.0,2.0388925,1.7901105,2.0206327,1.6267157,0.0,0.02726822,0.021070898,1
16,EGP,0.0,0.0,2.170247,1.955948,2.046583,1.8760471,0.0,0.026564304,0.018819213,1
18,HR,0.0,0.0,2.13673,1.9432904,2.1716323,1.9097654,0.0,0.021469373,0.011299435,1
27,DEI,0.0,0.0,1.8622638,1.7427236,2.0761135,1.7604504,0.0,0.020441988,0.0154696135,1
23,HHC,0.0,0.0,2.055928,1.6383097,1.0659605,1.6847578,0.0,0.01888791,-0.008826125,1
19,HTA,0.0,0.0,2.13673,1.9432904,2.1716323,1.9097654,0.0,0.015622114,0.008221994,1
31,GNL,0.0,0.0,1.7076489,1.6363188,1.0931343,1.644198,0.0,0.010629087,0.011071652,1
28,EQIX,0.0,0.0,1.8621744,1.6387161,2.4937303,1.6495022,0.0,0.009606682,0.007289687,1
20,HPP,0.0,0.0,2.1294446,1.8756143,2.159154,1.9054722,0.0,0.0036363637,0.00022736363,1
29,ESRT,0.0,0.0,1.8306868,1.64829,1.4250932,1.715597,0.0,-0.005761863,-0.0108744735,1
22,CXW,0.0,0.0,2.0738344,1.6454208,2.0461833,1.6156447,0.0,-0.045946963,0.047923323,1
21,INN,0.0,0.0,2.083571,1.9563638,2.0059764,1.8908571,0.0,-0.09136347,-0.22125182,1
