,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
14,CIO,0.0,0.0,2.4501154,2.191098,1.7088308,1.5651412,0.0,1.1003009,0.009615276,2
0,BRMK,0.0,0.0,12.081385,10.360959,0.0,0.0,0.0,0.12133072,0.1330724,2
10,CTO,0.0,0.0,2.6327302,2.4223268,1.5198665,2.113852,0.0,0.09038124,0.29681122,2
15,CTRE,0.0,0.0,2.4366689,2.2629545,2.7558203,2.5509257,0.0,0.0408614,0.046935394,2
13,AVB,0.0,0.0,2.4559636,2.2189972,2.0067205,2.272903,0.0,0.038818613,0.031977847,2
6,ADC,0.0,0.0,3.097189,2.8916435,3.1898434,2.8576262,0.0,0.034921575,0.026043208,2
5,ARE,0.0,0.0,3.275241,2.7015054,2.8863034,2.4296758,0.0,0.032313287,0.043013055,2
3,ALEX,0.0,0.0,3.404818,2.3313904,2.8040216,2.166188,0.0,0.02955368,0.0048250905,2
9,CHCT,0.0,0.0,2.7997499,2.58192,3.135579,2.8026886,0.0,0.026564885,0.024427481,2
11,CPT,0.0,0.0,2.5160444,2.14977,2.2733831,1.9549806,0.0,0.02486396,0.010380913,2
16,AKR,0.0,0.0,2.3020518,2.0177724,2.2522929,1.9580158,0.0,0.021394612,-0.00792393,2
8,AMH,0.0,0.0,2.8250213,2.5952704,3.3821123,3.0737026,0.0,0.018896678,0.0085339835,2
7,APLE,0.0,0.0,3.0895982,2.9153538,3.2576916,2.6825855,0.0,0.0059743957,-0.05476529,2
2,CSR,0.0,0.0,5.1687546,2.1123207,2.035875,1.8897561,0.0,-0.0022189228,0.0063247494,2
12,CLDT,0.0,0.0,2.4880712,2.3649368,2.2508616,2.0216334,0.0,-0.038578816,-0.16413374,2
4,CMCT,0.0,0.0,3.2855203,2.64839,2.1140594,1.8957187,0.0,-0.1627543,-0.15933834,2
17,CORR,0.0,0.0,2.2967806,2.0762174,1.9150844,2.1021478,0.0,-0.4973479,-14.522013,2
21,BRT,0.0,0.0,1.9391426,1.7909636,0.42265436,1.9448825,0.0,0.08025603,-0.05711472,1
19,AHH,0.0,0.0,1.9470897,1.6732827,1.988879,1.6523205,0.0,0.04142582,0.048664354,1
23,AAT,0.0,0.0,1.79947,1.6693884,1.960807,1.8014601,0.0,0.023716953,0.017884914,1
18,BDN,0.0,0.0,2.0496123,1.7931176,2.1043515,1.8612189,0.0,0.01037037,0.26222223,1
20,CONE,0.0,0.0,1.9464034,1.6456507,1.8706336,1.5895556,0.0,0.0022133687,0.0038733953,1
1,COLD,0.0,0.0,8.405067,1.9622545,2.9261482,1.9392053,0.0,-0.0051921187,0.0044715446,1
22,CDR,0.0,0.0,1.929451,1.7626073,1.9020623,1.7066729,0.0,-0.11769757,-0.002820934,1
