,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
9,UMH,0.0,0.0,2.545081,2.4037602,0.97720426,1.8571966,0.0,0.07400722,0.007347545,2
4,VICI,0.0,0.0,3.525225,3.2526295,2.4144065,2.2541494,0.0,0.06377551,0.05612245,2
6,UBA,0.0,0.0,3.2850575,2.447184,3.3736281,2.679257,0.0,0.04976607,0.012675773,2
5,UBP,0.0,0.0,3.2850575,2.447184,3.0205631,2.3005252,0.0,0.04799318,0.012224206,2
11,RYN,0.0,0.0,2.4886396,2.1555424,2.5848835,1.998155,0.0,0.045098893,0.008802263,2
14,SITC,0.0,0.0,2.3650324,2.0614493,1.9861099,1.8989407,0.0,0.044973545,0.0070546735,2
8,STAG,0.0,0.0,2.5909774,2.391007,2.7106507,2.442059,0.0,0.04399746,0.044928525,2
7,REG,0.0,0.0,2.7428966,2.3048074,2.611634,2.2417397,0.0,0.037809882,0.0047310507,2
15,STOR,0.0,0.0,2.233256,2.1112943,0.01392797,0.015452937,0.0,0.03153384,0.026777176,2
12,SUI,0.0,0.0,2.4088311,2.0841582,2.3909097,2.0972967,0.0,0.025527196,0.009519074,2
3,TRNO,0.0,0.0,4.057634,3.3757093,0.0,0.0,0.0,0.023411978,0.02123412,2
1,SHO,0.0,0.0,4.792412,3.7952626,4.008809,3.3310168,0.0,0.01593259,-0.1937751,2
0,REXR,0.0,0.0,4.845195,3.9575627,3.857809,3.4853137,0.0,0.014590553,0.009301477,2
13,WELL,0.0,0.0,2.37859,2.1938999,2.2848473,2.0820084,0.0,0.012581547,0.03665735,2
10,SBRA,0.0,0.0,2.4918644,2.3062615,2.5230436,2.3232656,0.0,-0.0376769,0.049228508,2
22,SEVN,0.0,0.0,1.7666234,1.752833,0.0,0.0,0.0,0.25170857,-0.571875,1
23,UHT,0.0,0.0,1.7587059,1.6481194,1.6740676,1.4746361,0.0,0.17971933,0.032141242,1
16,SLG,0.0,0.0,2.2260973,1.9252844,2.3611054,1.8848695,0.0,0.15376097,0.11770381,1
18,RPT,0.0,0.0,2.107714,1.8895607,0.9486928,1.6976489,0.0,0.10680713,-0.015675943,1
21,VNO,0.0,0.0,1.9214661,1.6059926,2.1924355,1.7492349,0.0,0.038333334,-0.07625,1
17,SRC,0.0,0.0,2.1395288,1.9349713,2.3526912,2.288108,0.0,0.03829889,0.0040074806,1
2,TCI,0.0,0.0,4.4605885,1.8915718,1.2380983,1.6985418,0.0,0.024610521,0.017385414,1
20,VTR,0.0,0.0,2.0219414,1.7947822,1.9767661,1.7529141,0.0,0.0031823746,0.02888617,1
19,RLJ,0.0,0.0,2.0331843,1.8825487,2.1706939,1.9172649,0.0,-0.17670938,-0.17271419,1
