,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
9,INTC,0.0,0.0,4.419989,2.3064575,4.2056813,2.1246998,0.0,0.18997669,0.19347319,2
6,LEN,0.0,0.0,5.206316,2.7193866,4.0335298,2.5292113,0.0,0.18167938,0.10025445,2
17,LH,0.0,0.0,3.2140448,2.0158615,2.9707685,1.8737584,0.0,0.11962653,0.07775725,2
21,KIM,0.0,0.0,2.4290078,2.2145183,1.1168121,1.9539067,0.0,0.085361324,0.11982398,2
11,MRO,0.0,0.0,4.233682,2.6940393,2.94844,2.428127,0.0,0.0422982,-0.0648233,2
1,MKTX,0.0,0.0,17.30791,3.1288438,14.222845,3.5375724,0.0,0.029129708,0.033914093,2
3,LIN,0.0,0.0,5.7439995,2.255715,5.1227427,2.282178,0.0,0.027119638,0.017407876,2
10,KHC,0.0,0.0,4.281183,2.1253927,3.526814,2.0132294,0.0,0.024222968,0.008463447,2
0,JKHY,21.340298,2.2612731,23.316559,2.2974124,7518.495,2.7634418,0.026612904,0.022628559,0.020814253,2
8,LHX,0.0,0.0,4.8301096,2.292946,0.0,0.0,0.0,0.02261915,0.0,2
2,INTU,3.6767864,0.96794474,6.2564516,2.7476537,3.2008784,1.8765665,0.018940074,0.019633004,0.017939176,2
22,INVH,0.0,0.0,2.3176193,2.1310215,2.1796942,1.9559699,0.0,0.013799448,0.010732904,2
15,IFF,0.0,0.0,3.4805262,2.1499865,9.785822,1.7721553,0.0,0.01257363,0.036814682,2
16,IVZ,0.0,0.0,3.3658326,1.9788347,4.0044427,1.6825888,0.0,0.20774768,0.0781625,1
19,MPC,0.0,0.0,3.1732457,1.648382,2.573138,1.5232354,0.0,0.14190564,-0.1413506,1
18,LRCX,3.4401937,1.3335799,3.1815732,1.6109691,2.5055475,1.5528725,0.09350944,0.077318564,0.04416986,1
20,LKQ,0.0,0.0,2.9842434,1.8485262,2.8806307,1.8478252,0.0,0.07523318,0.04258339,1
4,JCI,0.0,0.0,5.4121447,1.8105199,5.219977,1.8317477,0.0,0.045460794,0.01653637,1
5,JBHT,0.0,0.0,5.218996,1.8487796,4.541354,1.7812557,0.0,0.045017157,0.029942267,1
23,KMI,0.0,0.0,2.1133254,1.8292246,2.0881107,1.7932727,0.0,0.04488096,0.00284657,1
14,KDP,0.0,0.0,3.8141112,1.9744791,3.4373014,1.9183398,0.0,0.04142254,0.02561657,1
12,KEYS,0.0,0.0,3.846268,1.94671,3.9399564,1.8408569,0.0,0.030339122,0.020999186,1
7,JNPR,0.0,0.0,4.858939,1.9445964,4.0938973,1.9397494,0.0,0.028602486,0.029169783,1
13,J,0.0,0.0,3.826358,1.6901126,6.709753,1.901054,0.0,0.028472899,0.033071004,1
