,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
0,MRNA,0.0,0.0,26.931223,2.3440707,37.65487,1.5363715,0.0,0.24708588,-0.015977839,2
9,NUE,0.0,0.0,4.542468,2.3016696,3.8332317,2.2629244,0.0,0.19089928,0.020089854,2
4,MHK,0.0,0.0,5.2169256,2.454068,4.671722,2.4760253,0.0,0.15967321,0.076663814,2
1,META,0.0,0.0,11.964751,4.037827,14.953632,5.134919,0.0,0.104395196,0.076262966,2
2,MU,8.941454,3.2778456,8.083653,3.9453607,7.4802117,3.6560414,0.14935935,0.10001913,0.046280358,2
13,NVR,0.0,0.0,3.6675897,2.0601254,3.6333055,2.1604323,0.0,0.08144462,0.057565644,2
11,NDSN,0.0,0.0,3.9839976,2.3231332,3.3224888,1.9182143,0.0,0.036195327,0.01999537,2
8,NWSA,4.2880974,1.7654122,4.695129,2.1994755,11.327244,2.4286444,0.06786171,0.03585147,-0.13828425,2
7,NWS,4.144645,1.7654122,4.695129,2.1994755,11.327244,2.4286444,0.06654112,0.0351538,-0.13559322,2
17,MAA,0.0,0.0,2.4985514,2.212308,2.453539,2.1989436,0.0,0.032974362,0.015140045,2
14,MDT,3.7729535,2.3703966,3.527341,2.2439911,3.6572568,2.269949,0.045328178,0.032394536,0.04315242,2
10,NVDA,3.7808676,0.98520625,4.064229,2.4198184,8.316523,3.3877912,0.033326965,0.014988061,0.009799886,2
3,NEM,0.0,0.0,6.436687,2.163298,6.074743,2.3607054,0.0,0.006889335,0.0831593,2
12,TAP,0.0,0.0,3.8319805,1.9791615,3.3026924,1.8580198,0.0,0.09802472,-0.09253196,1
5,MOS,0.0,0.0,5.001907,1.9522144,4.164783,1.9721563,0.0,0.081971556,0.033677764,1
15,MDLZ,0.0,0.0,3.3594713,1.7305579,3.3052251,1.6886642,0.0,0.053923585,0.044504263,1
16,MLM,0.0,0.0,2.6007843,1.8322428,3.4299793,2.2572374,0.0,0.035127673,0.036063578,1
6,MSFT,5.954627,1.5194858,4.92481,1.7403268,4.2439365,1.6464453,0.041935973,0.035105165,0.025161583,1
