,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
10,WY,0.0,0.0,3.4456372,2.5638344,2.9650972,2.151847,0.0,0.120886736,0.037062693,2
9,VICI,0.0,0.0,3.525225,3.2526295,2.4144065,2.2541494,0.0,0.06589786,0.057990115,2
1,WST,0.0,0.0,10.186904,3.3869584,8.577832,2.9743426,0.0,0.036449436,0.019038321,2
4,WAB,0.0,0.0,4.54756,2.2463787,4.353092,2.2229517,0.0,0.034213897,0.025369488,2
0,VRTX,0.0,0.0,14.380152,4.030758,0.0,0.0,0.0,0.030590072,0.0354451,2
5,TRMB,0.0,0.0,4.444739,2.097703,3.6028104,1.8856518,0.0,0.028985508,0.03808993,2
18,WELL,0.0,0.0,2.37859,2.1938999,2.2848473,2.0820084,0.0,0.014118877,0.04113648,2
17,TWTR,0.0,0.0,2.5348108,2.0821764,2.9836068,2.473483,0.0,-0.005580421,-0.028594123,2
19,WBD,0.0,0.0,2.3326106,1.6369644,2.2128668,1.57054,0.0,0.1655574,0.1514143,1
2,WTW,0.0,0.0,6.3918843,1.6143477,5.7303686,1.3961014,0.0,0.15773116,0.037296038,1
7,TSN,0.0,0.0,3.8841465,1.9674343,3.0638504,1.81472,0.0,0.13369735,0.09391575,1
15,UHS,0.0,0.0,2.8717713,1.8974801,3.4414496,1.9048829,0.0,0.12858403,0.12196736,1
8,WRK,0.0,0.0,3.5701663,1.6655545,3.0517359,1.5872151,0.0,0.100817405,-0.08459069,1
14,WDC,3.739533,1.8280382,2.9950716,1.6956719,2.6801045,1.5928248,0.13877669,0.07761108,-0.02423543,1
3,ZBRA,0.0,0.0,5.4279475,1.9235531,4.2156863,1.6635716,0.0,0.060556844,0.036465585,1
21,VNO,0.0,0.0,1.9214661,1.6059926,2.1924355,1.7492349,0.0,0.043294117,-0.08611765,1
13,VMC,0.0,0.0,3.0254505,1.9230909,10.669454,1.9434004,0.0,0.031988874,0.027879631,1
6,V,0.0,0.0,3.9517567,1.829651,3.3618197,1.8099041,0.0,0.030903501,0.026896477,1
12,XYL,0.0,0.0,3.3918033,1.6388118,6.4346795,1.4075165,0.0,0.02668318,0.015874803,1
11,TYL,0.0,0.0,3.4089155,1.9650779,0.0,0.0,0.0,0.011730803,0.014175933,1
16,ULTA,2.5798638,1.5063063,2.683449,1.6470153,2.5092885,1.6422136,0.044811685,0.007993851,0.03128363,1
20,VTR,0.0,0.0,2.0219414,1.7947822,1.9767661,1.7529141,0.0,0.0035499728,0.03222283,1
