,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
9,COO,0.0,0.0,5.5005727,3.6056602,3.688749,2.3131459,0.0,0.2276391,0.018504504,2
11,DHI,0.0,0.0,4.4070725,2.7291725,4.3775434,2.7849884,0.0,0.1607565,0.09025171,2
16,FANG,0.0,0.0,3.3807766,2.3721123,2.9711635,2.2545106,0.0,0.08462719,-0.20073019,2
7,CTRA,0.0,0.0,6.368,2.438128,3.874403,1.9600844,0.0,0.07876712,0.017123288,2
2,CTSH,0.0,0.0,10.8721075,3.0458965,9.62628,2.7801874,0.0,0.06765956,0.044110104,2
13,XRAY,0.0,0.0,4.026201,2.207326,4.0180645,2.1367795,0.0,0.06758184,-0.013375572,2
23,DLR,0.0,0.0,2.4310558,2.0326397,2.7115414,2.0463064,0.0,0.06676354,0.0109248245,2
10,COP,0.0,0.0,4.5480585,2.0033367,4.0743055,1.9108914,0.0,0.05138807,-0.021179648,2
5,CVX,0.0,0.0,7.636042,2.4050906,5.4110346,2.2396884,0.0,0.051114473,-0.018496532,2
22,STZ,2.4821966,1.9787949,2.4680665,2.0571811,2.228428,1.8400824,-0.0009878761,0.04687921,-0.0003143242,2
0,CTVA,0.0,0.0,37.908684,2.5323844,38.59638,2.4251678,0.0,0.038622484,0.014959724,2
3,CPRT,44.43568,5.0569854,8.806053,4.41665,6.6679163,3.577819,0.041210797,0.036105033,0.027352298,2
14,DHR,0.0,0.0,3.5744243,2.1886494,3.434079,2.0932553,0.0,0.032665376,0.018511621,2
6,CSGP,0.0,0.0,6.469956,4.696399,6.047136,4.4903545,0.0,0.010147541,0.008125765,2
1,CINF,0.0,0.0,34.99108,1.7168252,30.636263,1.6440041,0.0,0.19466445,0.08037045,1
15,CMS,0.0,0.0,3.4860573,1.6098202,1.9522243,1.2576201,0.0,0.083206445,0.0479291,1
12,GLW,0.0,0.0,4.2793865,1.7128246,3.5369499,1.7761297,0.0,0.082225844,0.017728169,1
24,CAG,2.444763,1.6432744,2.4141397,1.6363368,2.24082,1.5539284,0.055707764,0.08127854,0.05235921,1
8,CMI,0.0,0.0,5.7008896,1.6569991,4.9001517,1.6592592,0.0,0.065947615,0.055356815,1
4,CSCO,9.879349,1.7491195,8.458876,1.7341433,6.5043545,1.666046,0.07027564,0.062329277,0.06580581,1
18,DVN,0.0,0.0,3.1222155,1.8084465,2.181338,1.4379805,0.0,0.057677623,-0.09883398,1
19,CHD,0.0,0.0,3.1200984,1.6787732,3.4264522,1.6873763,0.0,0.04779412,0.044966064,1
17,CF,0.0,0.0,3.3301938,1.9522007,2.9693751,1.8727415,0.0,0.042208344,0.014122138,1
20,CTAS,2.7446237,1.5849948,3.0321152,1.8106983,2.8349955,1.7295227,0.02956753,0.02640496,0.02098341,1
21,DXCM,0.0,0.0,2.5886736,1.8619502,2.3324273,1.7412744,0.0,0.0039161933,0.012801058,1
