,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
0,GRMN,0.0,0.0,112.13561,4.5133433,92.56922,4.6403832,0.0,0.0706399,0.0651192,2
1,INCY,0.0,0.0,110.06787,4.24065,74.9178,3.7497163,0.0,0.06284712,-0.019877229,2
8,HRL,0.0,0.0,3.819705,2.2204268,17.750202,0.9268645,0.0,0.037718903,0.037943423,2
9,GPN,0.0,0.0,3.7479887,2.3327677,4.530626,2.6445029,0.0,0.030193118,0.017373485,2
5,IR,0.0,0.0,4.3603797,2.4911644,4.058379,2.3378026,0.0,0.03001887,-0.0019715223,2
6,IEX,0.0,0.0,4.131059,2.325907,3.8206234,2.3555114,0.0,0.02925308,0.024649804,2
7,FTV,0.0,0.0,3.9738145,2.3696482,3.6222186,2.2675455,0.0,0.027306028,0.07625708,2
3,ILMN,5.990945,0.0,6.1417003,2.6236596,0.0,0.0,0.024314472,0.021728586,0.0,2
18,HST,0.0,0.0,2.2643447,2.0914323,2.326295,1.9637417,0.0,-0.00095008675,-0.06380368,2
12,BEN,0.0,0.0,3.184746,1.9557203,2.324108,2.1867287,0.0,0.16384439,0.07276888,1
16,FOX,3.0786843,2.0120258,2.7124941,1.9427167,2.5528169,1.8687172,0.06973549,0.124012366,0.05565098,1
15,FOXA,3.0786843,2.0120258,2.7124941,1.9427167,2.5528169,1.8687172,0.06471151,0.1150781,0.051641695,1
14,HOLX,0.0,0.0,2.836577,1.8973262,2.3483455,1.6031636,0.0,0.114178166,0.066499375,1
4,FCX,0.0,0.0,4.915754,1.9206495,4.322905,1.7951951,0.0,0.10236697,0.014191261,1
13,FBHS,0.0,0.0,2.9287033,1.6291416,2.7126849,1.6055813,0.0,0.098140486,0.07027641,1
2,HSIC,0.0,0.0,6.9706774,1.9197114,7.753783,2.051803,0.0,0.06676536,0.041894894,1
10,GNRC,0.0,0.0,3.6904316,1.8720063,3.761538,1.7534087,0.0,0.055166602,0.03636717,1
17,PEAK,0.0,0.0,2.3935106,1.8809935,2.4576101,1.8564582,0.0,0.044553123,0.03515982,1
11,FISV,0.0,0.0,3.5903847,1.7212353,3.6075711,1.7959276,0.0,0.021537565,0.014506322,1
