,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
3,AOS,0.0,0.0,15.8648405,2.1156983,21.413956,2.408336,0.0,0.060746722,0.043028094,2
5,GOOGL,0.0,0.0,12.65251,3.3378983,11.938443,3.2925663,0.0,0.056482647,0.029507345,2
4,GOOG,0.0,0.0,12.65251,3.3378983,11.938443,3.2925663,0.0,0.05605415,0.029233582,2
21,AKAM,0.0,0.0,2.8467479,2.255318,3.7662382,2.2102182,0.0,0.04851491,0.041497793,2
9,ATVI,0.0,0.0,6.9445677,3.3600643,6.4102635,2.8628592,0.0,0.04769042,0.03883363,2
1,ALGN,0.0,0.0,57.88371,2.5619214,56.04181,3.0264623,0.0,0.045553852,0.10482034,2
2,AMD,0.0,0.0,18.7882,2.5231614,16.87759,2.86784,0.0,0.04412501,0.034705065,2
19,APD,0.0,0.0,3.2678607,2.103107,3.1545403,1.977816,0.0,0.04035798,0.036352012,2
12,AME,0.0,0.0,4.591069,2.3671846,4.212631,2.3496282,0.0,0.036803544,0.032373488,2
10,ADBE,0.0,0.0,5.829446,2.1890872,5.158029,2.2036297,0.0,0.034759864,0.037650783,2
18,ARE,0.0,0.0,3.275241,2.7015054,2.8863034,2.4296758,0.0,0.03329903,0.0443252,2
17,A,0.0,0.0,3.9226823,2.0137322,4.0809665,2.0250316,0.0,0.03081688,0.018041037,2
8,ANSS,0.0,0.0,7.3713903,3.4366302,6.4637814,3.2238195,0.0,0.023933169,0.022804245,2
7,ADI,0.0,0.0,7.6691017,3.6513462,4.1726294,2.2668545,0.0,0.023861468,0.02256613,2
0,ANET,0.0,0.0,101.44584,3.2659383,65.4574,3.3404944,0.0,0.02336961,0.017611574,2
14,ALB,0.0,0.0,4.352674,2.1232648,2.9257493,1.7469628,0.0,0.004259851,0.012963167,2
13,AMAT,0.0,0.0,4.488962,1.9019737,4.0553336,1.8983439,0.0,0.07757794,0.04736211,1
20,APH,0.0,0.0,3.0611053,1.7686468,3.1882322,1.7929575,0.0,0.057061747,0.028672818,1
11,ADM,0.0,0.0,5.305359,1.68228,4.4982357,1.6742095,0.0,0.056925774,0.03725365,1
16,ABT,0.0,0.0,3.9564347,1.9196365,3.692198,1.8345683,0.0,0.038735982,0.024637483,1
6,ACN,14.211322,1.4738965,12.312617,1.8708068,10.637916,1.8937534,0.041505978,0.035549276,0.030661728,1
15,APTV,0.0,0.0,4.1196523,1.9063096,4.170912,1.8596901,0.0,0.026436917,0.07931075,1
