,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
4,CBOE,0.0,0.0,4.7703886,2.1230955,4.8776197,2.0572357,0.0,0.041954797,0.036252752,2
2,ERIE,0.0,0.0,23.894375,2.4923403,22.08464,2.2787442,0.0,0.024284124,0.026857654,2
5,EZPW,0.0,0.0,2.6516674,2.130433,3.9772038,2.1847632,0.0,0.01898734,-0.15696202,2
0,EHTH,0.0,0.0,207.34116,6.874537,22.336763,5.136824,0.0,-1.3579881,0.51775146,2
6,ENVA,0.0,0.0,1.937358,1.6551377,2.0781147,1.7726222,0.0,0.22714902,0.38474026,1
1,CINF,0.0,0.0,34.99108,1.7168252,30.636263,1.6440041,0.0,0.18938254,0.07818972,1
3,DFIN,0.0,0.0,4.8720355,1.7446178,2.8728843,1.4011006,0.0,0.11690082,-0.020507285,1
