,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
3,FSP,0.0,0.0,2.8732316,2.3480954,1.3098485,1.749289,0.0,0.35582823,0.12269939,2
1,PW,0.0,0.0,3.655473,3.159102,1.7034614,1.6005021,0.0,0.23889875,0.08792185,2
0,AFCG,0.0,0.0,5.1236167,2.4239488,0.0,0.0,0.0,0.06608479,0.0,2
4,MDV,0.0,0.0,2.8149023,2.0794182,0.0,0.0,0.0,-0.01517315,0.0,2
2,CMCT,0.0,0.0,3.2855203,2.64839,2.1140594,1.8957187,0.0,-0.16099072,-0.15761176,2
5,CORR,0.0,0.0,2.2967806,2.0762174,1.9150844,2.1021478,0.0,-0.43499815,-12.701468,2
10,DHC,0.0,0.0,1.800318,1.67213,1.8158329,1.6790471,0.0,0.75891465,-0.61336935,1
8,PINE,0.0,0.0,1.888078,1.8209372,2.3898664,2.3253064,0.0,0.06403894,0.008207071,1
7,CDR,0.0,0.0,1.929451,1.7626073,1.9020623,1.7066729,0.0,-0.11769757,-0.002820934,1
9,SQFT,0.0,0.0,1.845955,1.6841478,0.83516467,1.3700557,0.0,-0.35114503,-0.648855,1
6,NYC,0.0,0.0,2.0673597,1.7440662,1.0866144,1.7944695,0.0,-0.89044946,-0.9287657,1
