,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
0,BIO,0.0,0.0,79.57791,4.3264203,57.479496,4.1946187,0.0,0.33252513,0.2980906,2
2,BRK.B,0.0,0.0,8.391101,2.1601338,7.4744773,2.0685215,0.0,0.14733876,0.066081904,2
6,CBOE,0.0,0.0,4.7703886,2.1230955,4.8776197,2.0572357,0.0,0.041644387,0.03598453,2
16,AVB,0.0,0.0,2.4559636,2.2189972,2.0067205,2.272903,0.0,0.041502208,0.03418853,2
15,CPT,0.0,0.0,2.5160444,2.14977,2.2733831,1.9549806,0.0,0.026283186,0.010973452,2
9,BSX,0.0,0.0,3.4101152,2.0650349,3.3703866,1.9917805,0.0,0.01836016,-0.0014557593,2
1,CDNS,9.646387,0.0,8.575446,2.7101622,0.0,0.0,0.015984897,0.013593455,0.0,2
3,TECH,7.0399055,3.419004,5.380895,3.2714787,5.535656,3.136755,0.023445945,0.012229729,0.02027027,2
12,CE,0.0,0.0,2.8484776,1.6099758,2.749937,1.5553179,0.0,0.1895398,0.18672429,1
4,CBRE,0.0,0.0,5.259065,1.7361052,4.403732,1.652079,0.0,0.08353738,0.03226271,1
8,BWA,0.0,0.0,3.6654136,1.7797703,4.0012484,1.7226223,0.0,0.06696428,0.06228146,1
14,ATO,0.0,0.0,2.5926785,1.6757001,3.3688042,1.7926399,0.0,0.051514238,0.04920012,1
13,CTLT,2.500476,1.3614321,2.7976665,1.8834229,2.5767064,1.8207253,0.037133213,0.04089847,0.015061023,1
10,BIIB,0.0,0.0,3.1403039,1.8484316,3.1448991,1.7669743,0.0,0.037496608,0.09639769,1
7,BRO,0.0,0.0,4.360596,1.7496393,3.877598,1.7202666,0.0,0.034955896,0.027768703,1
11,BDX,0.0,0.0,3.0588303,1.7842923,3.0123816,1.7856977,0.0,0.03107738,0.012350114,1
5,BKR,0.0,0.0,5.2546453,1.9002258,4.9793005,1.9229445,0.0,-0.01418007,-0.6437937,1
